No;Judul;Penulis;Genre;Sinopsis;URL Sumber;;;;;;
1;DAMIAN;Ezra san;"Romansa, Petualangan, mafia";"Christina dituduh membunuh seseorang, semua bukti memberatkannya tidak peduli meski Christina bersaksi ia tidak pernah membunuh siapapun dan tidak ingat kejadian malam itu.

Christina dijatuhkan hukuman penjara seumur hidup di penjara Tartarus, penjara di pulau tak berpenghuni yang dipenuhi tahanan berbahaya, rumornya tidak ada yang pernah berhasil keluar dari Tartarus hidup-hidup ataupun bertahan hidup di sana lebih dari satu bulan.

Hanya monster yang bertahan hidup di sana dan salah satunya adalah DAMIAN, laki-laki yang pernah menyatakan cintanya pada Christina sepuluh tahun yang lalu namun Christina menolaknya mentah-mentah.

Damian menghilang tiba-tiba setelah penolakan yang mempermalukannya itu dan Christina tidak pernah mendengar kabar soalnya lagi hingga hari di mana Christina dibawa ke Tartarus, bertemu dengan Damian yang jadi tahanan paling ditakuti di sana.

Yang jadi pertanyaannya apakah keberadaan Damian akan menjadi keuntungan bagi Christina atau justru neraka baginya mengingat terakhir kali Christina bertemu dengannya adalah ketika Christina berbohong tentangnya di hadapan banyak orang, dan mempermalukannya.";https://www.wattpad.com/story/396155941-damian;;;;;;
2;Pertanian Ajaib Aria;Amarine05;"Fantasi, Romansa";"Aria, seorang Gastronom dan Culinary Historian yang tewas dibunuh oleh kekasihnya, tunangannya sendiri demi mendapatkan penelitian besar Aria. 

Terkejut akan pengkhianatan yang dilakukan tunangannya, Aria tak mengira ia akan hidup kembali sebagai sosok lain, tepatnya sebagai karakter figuran dalam sebuah web novel.

Hidup sebagai orang lain, Aria tak mengira ada banyak hal besar yang menantinya. Mampukah Aria hidup sebagai sosok barunya?";https://www.wattpad.com/story/401230362-pertanian-ajaib-aria;;;;;;
3;OSTIARIUS;icebreaker20;"Fantasi, Horor";"Satu sentuhan pada benda terkutuk mengubah segalanya.

Rico tak pernah menyangka hidupnya akan terikat pada Prasasti Arwah-artefak kuno yang memilihnya sebagai Katalis, pewaris kekuatan roh leluhur. Namun, kekuatan itu bukan anugerah. Setiap kemampuannya membawa rasa sakit, mimpi buruk, dan perlahan menggerogoti jiwanya.

Saat seorang dukun sesat bernama Purba berusaha membuka gerbang dunia arwah, Rico harus berjuang bersama Gracia-gadis misterius dengan masa lalu kelam-dan para Ksatria Prasasti  untuk menghadapi siluman, arwah, dan kegelapan yang mengintai.

Karena jika Rico gagal... Dunia yang akan menjadi taruhannya...";https://www.wattpad.com/story/399473345-ostiarius;;;;;;
4;Repeat Life: Devina Grisyela Mahendra;oneonlyy___;"Aksi, Romansa";"Devina Grisyela Mahendra.

Gadis cantik yang mendapatkan kesempatan kedua untuk mengulang kehidupannya. Devina ingin membalas rasa sakit yang ia rasakan kepada dua orang yang telah membuat hidupnya sengsara.

Saga Devano Bagaskara dan Lily Priscan.

Devina mencintai tunangannya, Saga dengan setulus hatinya. Tetapi Saga malah menganggapnya sebagai perempuan murahan dan menjalin hubungan terang-terangan dengan Lily.

Sanjaya High School.

Sekolah elite swasta yang diisi oleh siswa/i yang memiliki latar belakang terpandang. Keluarga kaya raya, orang tua berkoneksi, dan circle pertemanan elite.

Di SHS, prestasi memang diutamakan. Tapi dibalik itu, ada satu kata yang bisa bermain dengan lihai di dalam kawasan sekolah 'uang' memiliki tahta tertinggi di SHS.

~~~~~

Awal mula cerita berfokus pada pembalasan dendam Devina di kehidupan keduanya. Namun ia tidak mengetahui bahwa segalanya akan berubah jika dia berani mengubah takdir yang awalnya sudah terencana.

Kemunculan orang-orang yang sebelumnya tidak ada di kehidupan pertamanya, membuat Devina di hadapkan dengan fakta-fakta mengejutkan dan pilihan yang sulit.

Entah kebahagiaan ataukah petaka yang akan menjadi akhir dari kisahnya...";https://www.wattpad.com/story/395842592-repeat-life-devina-grisyela-mahendra;;;;;;
5;ALESA|the beauty indigo;Mlndaa_st;"Humor, Horor, Misteri";"Kehidupan Alesa memang bisa dikatakan berbeda dengan gadis pada umumnya, memiliki kemampuan yang tak dimiliki oleh orang lain. Bisa melihat keberadaan makhluk tak kasat mata di sekitarnya, Alesa sudah terbiasa dengan hal semacam itu sejak kecil. Dia adalah gadis pemberani, bar-bar, dan tentu saja pembuat onar.

Di hari pertama masuk sekolah menengah atas, gadis itu sudah membuat kerusuhan bahkan sampai membuat namanya langsung terkenal seantero sekolah. Dan di detik itu pula, Alesa harus berurusan dengan segitiga Bermuda alias tiga cowok tampan paling populer di sekolahnya.";http://wattpad.com/story/360349111-alesa-the-beauty-indigo-end;;;;;;
6;Bugged Into a Dark Romance Novel;terasena12;"Romansa, Komedi, Fiksi Sejarah";"Lucinda Elowen Corvein--alias Cindy, gamers sekaligus streamer yang terlalu banyak berceloteh soal novel dark romance berjudul ""Cry or Better Yet Beg"". 
Dia tidak pernah membacanya, hanya tahu sekilas dari komentar netizen dan potongan-potongan spoiler. Yang dia tahu, male lead-nya--Matthias von Herhardt--adalah definisi redflag berkedok bangsawan tampan.

Hingga suatu malam, setelah mengutuk Matthias di kolom komentar, tiba-tiba begitu terbangun dari tidurnya dia sudah jadi gadis berusia 18 tahun, kaya raya, dan menjadi bagian dari keluarga bangsawan yang cukup terkenal.

Bukan sebagai Layla sang tokoh utama. Bukan juga sebagai Claudine, Second Female Lead--sang tunangan resmi. Melainkan sebagai figuran.

Awalnya, Cindy hanya ingin hidup damai, jauh dari plot utama yang penuh pengkhianatan, politik, dan obsesi. Tapi Matthias, sang Duke of Arvis, justru tertarik pada sesuatu yang berbeda: seorang gadis yang bicara seenaknya, tidak paham tata krama bangsawan, dan bisa membuat darahnya mendidih sekaligus berdebar dalam satu waktu.

Saat Matthias mulai membelokkan seluruh takdir novel demi memiliki Lucinda, hanya satu hal yang pasti:

Cindy ingin pulang. Tapi Matthias tak berniat melepaskan.";https://www.wattpad.com/story/369889426-bugged-into-a-dark-romance-novel-hiatus;;;;;;
7;OLIVER'S PUZZLE;L. Zeth;"Aksi, Misteri, Romansa";"Pembunuhan berantai di Andromeda City mengincar nyawa para Anak Spesial. Oliver harus menemukan kembali ingatannya yang hilang agar dapat menghentikan aksi seorang pembunuh berantai itu.

***

Tiga minggu berlalu sejak kematian orang tua angkatnya, pada saat itu Oliver menemukan pesan ancaman pembunuhan terhadap Anak Spesial dan tak lama setelah itu, kasus pembunuhan pun mulai bermunculan di Andromeda City menargetkan para Anak Spesial. Merasa bersalah dan bertanggung jawab akan kematian para korban, Oliver memutuskan untuk mencari tahu mengenai memori yang hilang akibat amnesia yang dideritanya sebelum lebih banyak korban berjatuhan. Dengan bantuan kedua sahabatnya--Alice dan Peter, Oliver mencoba menguak misteri di balik orang tua asli dan amnesianya. Ketika kunci untuk mengakhiri kerumitan yang naas sudah berada di depan mata, Oliver dihadapkan pada kenyataan yang lebih gelap dari perkiraannya. Bersama Alice dan Peter, mampukah Oliver mencegah jatuhnya lebih banyak korban dan mengakhiri pembunuhan berantai di Andromeda City?";https://www.wattpad.com/story/103343551-oliver%27s-puzzle-completed;;;;;;
8;Kerajaan Kutai : Janji Sang Apoteker [ON;calia20;"Fantasi, Fiksi Sejarah, Waktu";"~'Ni Luh Laksmi Kirana'~

Mahasiswi Farmasi Dari Universitas Muliya Balikpapan yang sedang KKN di desa terpencil dekat Hulu sungai Mahakam, tiba-tiba  terdampar di Kerajaan Kutai Martadipura Kuno (abad ke-4). 

Dianggap sebagai utusan dewa dan menjadi murid Tabib Utama Kerajaan. Setelah diangkat murid, ia harus menggunakan seluruh ilmu Farmasi modernnya untuk melawan wabah Disentri yang mengancam kerajaan. 

Bisakah ia menyelamatkan peradaban kuno dengan obat-obatan dan sanitasi, sekaligus menemukan jalan pulang?";https://www.wattpad.com/story/404117033-kerajaan-kutai-janji-sang-apoteker-on-going;;;;;;
9;Let's Make Love;zyourwrite;"Romansa, Politik";"Ananda memang pernah suka sama Aldian, tapi itu dulu. Perasaannya sudah lama dia tinggalkan dibelakang sebab sadar bahwa cowo itu selamanya hanya akan menganggapnya sebagai sahabat saja. 

Namun, Nanda sendiri tidak pernah membayangkan suatu hari cinta monyetnya itu akan datang sendiri padanya menawarkan sebuah pernikahan dengan alasan 'biar dapat warisan' katanya. 

Nanda tahu Aldian itu memang rada-rada gak jelas sejak SMA, tapi dia tidak menduga bahwa cowo itu akan segila ini. Pasalnya suatu yang Nanda fikir hanya bercanda saja ternyata Aldian sungguh-sungguh menawarkannya. 

Tapi, kenapa? kenapa tiba-tiba jadi Nanda?";https://www.wattpad.com/story/338618071-let%27s-make-love;;;;;;
10;Tyllie;mimoonline;"Romansa, Fantasi, Kerajaan";"Tyla, gadis cantik yang hidup sebatang kara setelah memilih keluar dari panti sejak usianya 19 tahun dan memilih hidup mandiri.

 Tujuh tahun belakangan ini dirinya bekerja sebagai pelayan di berbagai restoran untuk memenuhi kebutuhan hidupnya.

 Namun, siapa sangka selepas pulang kerja hari itu dirinya dibuat tak sadar kan diri akibat kelalaiannya menahan lapar. Di usianya yang ke 26 tahun dirinya dinyatakan meninggal dunia akibat maag.

 Tapi bukannya ke akhirat jiwanya malah terdampar di tubuh seorang wanita yang sudah menikah.

Lantas apa yang harus dirinya lakukan? 

 Mampukah dirinya bertahan hidup di dunia yang sama sekali tak ia ketahui itu?";https://www.wattpad.com/story/388608527-tyllie-end;;;;;;
